Citation,,,Sample,,,Flow,,,,,,,Experimental Set up,,,,Outputs,,,,,Info
Article (MLA),Authors,DOI,"Geometry of Sample (flat, wire, or Cylindrical)","Dimensions of sample (Wire is in diameter, cylinder is in radius x length, rectangle is in L x W x H)",Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,"Internal geometry (Cylindrical , rectangular)",Internal Dimensions ,Gravity (g/gearth),"Ignition method (Wire, open flame, or Radiative Heater","Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)",Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate),HRR (Heat release rate),Smoke/ Areosols (yes/no),
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-60,,,190 mm,0,Wire,Parabolic aircraft,94 W,8 s,Yes,,2.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,0,Wire,Parabolic aircraft,94 W,8 s,Yes,,2.1,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,0.16,Wire,Parabolic aircraft,94 W,8 s,Yes,,3.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,0.38,Wire,Parabolic aircraft,94 W,8 s,Yes,,3.9,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,1,Wire,Parabolic aircraft,94 W,8 s,Yes,,4.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0,Wire,Parabolic aircraft,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0.16,Wire,Parabolic aircraft,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0.38,Wire,Parabolic aircraft,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,1,Wire,Parabolic aircraft,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,15.5%,101.3 kPa,-60,,,190 mm,0,Wire,Parabolic aircraft,94 W,8 s,No,,,,,
